Population,Crude_Rate,crude_SE,race,age,sex,subgroup_id,disease,female,agecat
12611645,1.3,0,1,1,2,1,DB,1,1
12611645,1,0,1,1,2,1,CHD,1,1
12611645,0.8059120531,0,1,1,2,1,HST,1,1
12611645,0.0940879469,0,1,1,2,1,IST,1,1
14135806,0.184,0,1,1,2,1,MPLC,1,1
14135806,0.714,0,1,1,2,1,CC,1,1
14135806,0,0,1,1,2,1,LVC,1,1
14135806,0,0,1,1,2,1,GC,1,1
14135806,0.134,0,1,1,2,1,PC,1,1
14135806,0,0,1,1,2,1,Larynx,1,1
14135806,0.177,0,1,1,2,1,UC,1,1
14135806,0.453,0,1,1,2,1,OC,1,1
14135806,0,0,1,1,2,1,APCA,1,1
14135806,0.141,0,1,1,2,1,KC,1,1
14135806,0.156,0,1,1,2,1,TC,1,1
14135806,0,0,1,1,2,1,SCC,1,1
14135806,0.149,0,1,1,2,1,SCNC,1,1
14135806,0,0,1,1,2,1,ECA,1,1
14135806,0,0,1,1,2,1,MMC,1,1
14135806,1.9,0,1,1,2,1,BC,1,1
3281545,3.8,0.2,2,1,2,2,DB,1,1
3281545,2.3,0.1,2,1,2,2,CHD,1,1
3281545,1.9700072409,0.1,2,1,2,2,HST,1,1
3281545,0.2299927591,0.1,2,1,2,2,IST,1,1
3794222,0,0,2,1,2,2,MPLC,1,1
3794222,1.265,0,2,1,2,2,CC,1,1
3794222,0,0,2,1,2,2,LVC,1,1
3794222,0,0,2,1,2,2,GC,1,1
3794222,0,0,2,1,2,2,PC,1,1
3794222,0,0,2,1,2,2,Larynx,1,1
3794222,0,0,2,1,2,2,UC,1,1
3794222,0.527,0,2,1,2,2,OC,1,1
3794222,0,0,2,1,2,2,APCA,1,1
3794222,0,0,2,1,2,2,KC,1,1
3794222,0,0,2,1,2,2,TC,1,1
3794222,0,0,2,1,2,2,SCC,1,1
3794222,0,0,2,1,2,2,SCNC,1,1
3794222,0,0,2,1,2,2,ECA,1,1
3794222,0,0,2,1,2,2,MMC,1,1
3794222,4.5,0,2,1,2,2,BC,1,1
4412098,1,0.1,3,1,2,3,DB,1,1
4412098,0.6,0.1,3,1,2,3,CHD,1,1
4412098,0.8954578368,0.1,3,1,2,3,HST,1,1
4412098,0.1045421632,0.1,3,1,2,3,IST,1,1
8174290,0,0,3,1,2,3,MPLC,1,1
8174290,0.93,0,3,1,2,3,CC,1,1
8174290,0,0,3,1,2,3,LVC,1,1
8174290,0,0,3,1,2,3,GC,1,1
8174290,0,0,3,1,2,3,PC,1,1
8174290,0,0,3,1,2,3,Larynx,1,1
8174290,0.281,0,3,1,2,3,UC,1,1
8174290,0.465,0,3,1,2,3,OC,1,1
8174290,0,0,3,1,2,3,APCA,1,1
8174290,0,0,3,1,2,3,KC,1,1
8174290,0,0,3,1,2,3,TC,1,1
8174290,0,0,3,1,2,3,SCC,1,1
8174290,0.624,0,3,1,2,3,SCNC,1,1
8174290,0,0,3,1,2,3,ECA,1,1
8174290,0,0,3,1,2,3,MMC,1,1
8174290,1.8,0,3,1,2,3,BC,1,1
1961728,0.7,0.1,4,1,2,4,DB,1,1
1961728,0.4,0.1,4,1,2,4,CHD,1,1
1961728,0.8059120531,0.1,4,1,2,4,HST,1,1
1961728,0.0940879469,0.1,4,1,2,4,IST,1,1
4297210,0,0,4,1,2,4,MPLC,1,1
4297210,0.675,0,4,1,2,4,CC,1,1
4297210,0,0,4,1,2,4,LVC,1,1
4297210,0,0,4,1,2,4,GC,1,1
4297210,0,0,4,1,2,4,PC,1,1
4297210,0,0,4,1,2,4,Larynx,1,1
4297210,0,0,4,1,2,4,UC,1,1
4297210,0.489,0,4,1,2,4,OC,1,1
4297210,0,0,4,1,2,4,APCA,1,1
4297210,0,0,4,1,2,4,KC,1,1
4297210,0,0,4,1,2,4,TC,1,1
4297210,0,0,4,1,2,4,SCC,1,1
4297210,0.465,0,4,1,2,4,SCNC,1,1
4297210,0,0,4,1,2,4,ECA,1,1
4297210,0,0,4,1,2,4,MMC,1,1
4297210,1.5,0,4,1,2,4,BC,1,1
12978494,1.9,0.1,1,1,1,5,DB,0,1
12978494,3,0.1,1,1,1,5,CHD,0,1
12978494,1.0910259948,0,1,1,1,5,HST,0,1
12978494,0.1089740052,0,1,1,1,5,IST,0,1
14821468,0.364,0,1,1,1,5,MPLC,0,1
14821468,0.904,0,1,1,1,5,CC,0,1
14821468,0.202,0,1,1,1,5,LVC,0,1
14821468,0,0,1,1,1,5,GC,0,1
14821468,0.209,0,1,1,1,5,PC,0,1
14821468,0,0,1,1,1,5,Larynx,0,1
14821468,0,0,1,1,1,5,UC,0,1
14821468,0,0,1,1,1,5,OC,0,1
14821468,0,0,1,1,1,5,APCA,0,1
14821468,0.155,0,1,1,1,5,KC,0,1
14821468,0,0,1,1,1,5,TC,0,1
14821468,0.148,0,1,1,1,5,SCC,0,1
14821468,0.121,0,1,1,1,5,SCNC,0,1
14821468,0.135,0,1,1,1,5,ECA,0,1
14821468,0,0,1,1,1,5,MMC,0,1
0,0,0,1,1,1,5,BC,0,1
3186743,4.7,0.2,2,1,1,6,DB,0,1
3186743,5.5,0.2,2,1,1,6,CHD,0,1
3186743,2.2729708225,0.1,2,1,1,6,HST,0,1
3186743,0.2270291775,0.1,2,1,1,6,IST,0,1
3772686,0,0,2,1,1,6,MPLC,0,1
3772686,1.087,0,2,1,1,6,CC,0,1
3772686,0.557,0,2,1,1,6,LVC,0,1
3772686,0,0,2,1,1,6,GC,0,1
3772686,0,0,2,1,1,6,PC,0,1
3772686,0,0,2,1,1,6,Larynx,0,1
3772686,0,0,2,1,1,6,UC,0,1
3772686,0,0,2,1,1,6,OC,0,1
3772686,0,0,2,1,1,6,APCA,0,1
3772686,0.504,0,2,1,1,6,KC,0,1
3772686,0,0,2,1,1,6,TC,0,1
3772686,0,0,2,1,1,6,SCC,0,1
3772686,0.477,0,2,1,1,6,SCNC,0,1
3772686,0,0,2,1,1,6,ECA,0,1
3772686,0,0,2,1,1,6,MMC,0,1
0,0,0,2,1,1,6,BC,0,1
4852730,1.4,0.1,3,1,1,7,DB,0,1
4852730,2,0.1,3,1,1,7,CHD,0,1
4852730,1.3637824935,0.1,3,1,1,7,HST,0,1
4852730,0.1362175065,0.1,3,1,1,7,IST,0,1
8968608,0,0,3,1,1,7,MPLC,0,1
8968608,0.87,0,3,1,1,7,CC,0,1
8968608,0,0,3,1,1,7,LVC,0,1
8968608,0,0,3,1,1,7,GC,0,1
8968608,0,0,3,1,1,7,PC,0,1
8968608,0,0,3,1,1,7,Larynx,0,1
