,age,sex_id,outcome,x
1,1,1,APCA,752.9520485
2,2,1,APCA,1879.14305
3,3,1,APCA,28903.27093
4,4,1,APCA,172688.5946
5,5,1,APCA,310438.6763
6,6,1,APCA,411721.5024
7,1,2,APCA,0
8,2,2,APCA,0
9,3,2,APCA,0
10,4,2,APCA,0
11,5,2,APCA,0
12,6,2,APCA,0
13,1,1,BC,157.8902934
14,2,1,BC,554.9650106
15,3,1,BC,2080.807992
16,4,1,BC,4598.57996
17,5,1,BC,4987.37972
18,6,1,BC,3168.673671
19,1,2,BC,29915.5012
20,2,2,BC,117410.5547
21,3,2,BC,244993.2267
22,4,2,BC,387513.6781
23,5,2,BC,332867.2305
24,6,2,BC,273405.5107
25,1,1,CC,13795.31455
26,2,1,CC,45727.38197
27,3,1,CC,138236.8329
28,4,1,CC,282091.3357
29,5,1,CC,276308.2418
30,6,1,CC,221669.921
31,1,2,CC,12442.16518
32,2,2,CC,37903.53202
33,3,2,CC,98934.95072
34,4,2,CC,184709.6566
35,5,2,CC,197080.6934
36,6,2,CC,246543.9938
37,1,1,CHD,54376.80552
38,2,1,CHD,206757.8702
39,3,1,CHD,655176.8186
40,4,1,CHD,1373360.977
41,5,1,CHD,1470401.843
42,6,1,CHD,1779232.632
43,1,2,CHD,23450.79396
44,2,2,CHD,77113.0613
45,3,2,CHD,229994.0598
46,4,2,CHD,534376.7746
47,5,2,CHD,746584.1375
48,6,2,CHD,1780534.495
49,1,1,DB,49775.88654
50,2,1,DB,136788.0889
51,3,1,DB,341491.3731
52,4,1,DB,691090.7948
53,5,1,DB,706080.2538
54,6,1,DB,500659.1148
55,1,2,DB,46584.25886
56,2,2,DB,106776.3199
57,3,2,DB,242315.6157
58,4,2,DB,511304.4761
59,5,2,DB,562606.3569
60,6,2,DB,519657.1624
61,1,1,ECA,2028.044247
62,2,1,ECA,11238.41143
63,3,1,ECA,51085.20339
64,4,1,ECA,131855.9767
65,5,1,ECA,126448.9385
66,6,1,ECA,68285.08192
67,1,2,ECA,501.3474452
68,2,2,ECA,2096.038942
69,3,2,ECA,9123.845532
70,4,2,ECA,22646.59352
71,5,2,ECA,23915.42317
72,6,2,ECA,22339.54033
73,1,1,GC,280.8256643
74,2,1,GC,1188.285639
75,3,1,GC,4293.638388
76,4,1,GC,11433.33196
77,5,1,GC,13998.34305
78,6,1,GC,12122.14105
79,1,2,GC,338.2401951
80,2,2,GC,1750.657133
81,3,2,GC,6126.841838
82,4,2,GC,14769.59979
83,5,2,GC,18248.55484
84,6,2,GC,18179.2631
85,1,1,HST,22456.95182
86,2,1,HST,55488.31108
87,3,1,HST,125578.0658
88,4,1,HST,224647.7645
89,5,1,HST,223140.5046
90,6,1,HST,211654.176
91,1,2,HST,24445.22968
92,2,2,HST,54203.05799
93,3,2,HST,113960.748
94,4,2,HST,195649.8561
95,5,2,HST,215099.3977
96,6,2,HST,270783.1405
97,1,1,IST,10606.78427
98,2,1,IST,16613.16773
99,3,1,IST,39456.77555
100,4,1,IST,118891.2565
101,5,1,IST,211416.7817
102,6,1,IST,439440.6287
103,1,2,IST,15152.55906
104,2,2,IST,23131.58827
105,3,2,IST,44309.91214
106,4,2,IST,109230.7626
107,5,2,IST,221309.3987
108,6,2,IST,780158.7634
109,1,1,KC,2818.004898
110,2,1,KC,10205.76519
111,3,1,KC,39759.75066
112,4,1,KC,91763.5147
113,5,1,KC,90913.24162
114,6,1,KC,59052.2175
115,1,2,KC,1676.032422
116,2,2,KC,4420.167815
117,3,2,KC,13773.24655
118,4,2,KC,34459.98514
119,5,2,KC,40987.10175
120,6,2,KC,38280.90712
121,1,1,Larynx,230.78091
122,2,1,Larynx,1760.346991
123,3,1,Larynx,11988.92786
124,4,1,Larynx,33317.12059
125,5,1,Larynx,30577.43721
126,6,1,Larynx,16702.73439
127,1,2,Larynx,193.223655
128,2,2,Larynx,554.077709
129,3,2,Larynx,3092.970649
130,4,2,Larynx,7536.409148
131,5,2,Larynx,7295.61104
132,6,2,Larynx,4322.13105
133,1,1,LVC,3910.759667
134,2,1,LVC,11412.46086
135,3,1,LVC,53951.58921
136,4,1,LVC,161342.8938
137,5,1,LVC,109263.8632
138,6,1,LVC,52528.94634
139,1,2,LVC,1897.822801
140,2,2,LVC,5112.25271
141,3,2,LVC,17139.65987
142,4,2,LVC,45047.41706
143,5,2,LVC,46328.37534
144,6,2,LVC,36194.59828
145,1,1,MMC,666.6469908
146,2,1,MMC,4175.863681
147,3,1,MMC,18583.76449
148,4,1,MMC,50166.895
149,5,1,MMC,68204.99295
150,6,1,MMC,55805.3021
151,1,2,MMC,373.1769946
152,2,2,MMC,2601.395188
153,3,2,MMC,12119.65343
154,4,2,MMC,35517.47646
155,5,2,MMC,51366.16758
156,6,2,MMC,50500.44556
157,1,1,MPLC,2486.438455
158,2,1,MPLC,8551.432223
159,3,1,MPLC,36079.31582
160,4,1,MPLC,78095.86504
161,5,1,MPLC,59447.76946
162,6,1,MPLC,30221.19401
163,1,2,MPLC,1452.84151
164,2,2,MPLC,3723.944198
165,3,2,MPLC,11151.8076
166,4,2,MPLC,21421.98848
167,5,2,MPLC,20664.39398
168,6,2,MPLC,19342.78895
169,1,1,OC,0
170,2,1,OC,0
171,3,1,OC,0
172,4,1,OC,0
173,5,1,OC,0
174,6,1,OC,0
175,1,2,OC,6430.569428
176,2,2,OC,19176.86093
177,3,2,OC,60356.07746
178,4,2,OC,121684.5861
179,5,2,OC,125194.6296
180,6,2,OC,90689.74101
181,1,1,PC,2795.894067
182,2,1,PC,16180.70184
183,3,1,PC,74225.37682
184,4,1,PC,194630.6612
185,5,1,PC,206817.9887
186,6,1,PC,130714.3437
187,1,2,PC,2335.569856
188,2,2,PC,10966.31932
189,3,2,PC,47644.50684
190,4,2,PC,134628.4309
191,5,2,PC,167699.2338
192,6,2,PC,156733.5345
193,1,1,SCNC,4151.517353
194,2,1,SCNC,12764.13194
195,3,1,SCNC,32783.82502
196,4,1,SCNC,66034.75329
197,5,1,SCNC,66814.20785
