age,female,sex,race,subgroup_id,riskfactor,N,Mean,se,LowerCLMean,UpperCLMean,sigma_u_wgt,var,riagendr,meandaych,dayse,effect1,effect2,effect3,effect1se,effect2se,effect3se,Mean_alt,Mean_alt2,Mean_alt3,Mean_alt_se1,Mean_alt_se2,Mean_alt_se3,overweight_rate,overweight_rate_se,hbp,hbp_se,highSBP_RATE,highSBP_RATE_se
1,0,2,1,1,GLwheat,431,30.251301,0.447358,4.91803,5.21999,7.958918019,rfg,1,-4.519442718,0.2410083999,-1.581804951,-1.129860679,-2.259721359,0.0843529399,0.0602521,0.1205041999,29.918319456,30.013457115,29.775612968,0.4633042205,0.4633042205,0.4633042205,60.5649,2.6352,4.6949,0.9914,26.8968,2.3340
1,0,2,1,1,addsug,431,64.892911,1.879850,14.54921,16.35217,38.639024807,add,1,-1.920248095,0.1559372405,-0.672086833,-0.480062024,-0.960124048,0.0545780342,0.0389843101,0.0779686202,64.220824597,64.412849406,63.932787382,1.8814663141,1.8814663141,1.8814663141,60.5649,2.6352,4.6949,0.9914,26.8968,2.3340
1,0,2,1,1,rfg,431,143.706525,2.125142,4.91803,5.21999,37.808239701,rfg,1,-4.519442718,0.2410083999,-1.581804951,-1.129860679,-2.259721359,0.0843529399,0.0602521,0.1205041999,142.12471981,142.57666408,141.4468034,2.1285561338,2.1285561338,2.1285561338,60.5649,2.6352,4.6949,0.9914,26.8968,2.3340
1,0,2,1,1,sodium,431,3239.353576,26.883030,3185.20837,3293.49878,539.88950465,sod,1,-103.4824467,6.7033608833,-36.21885635,-25.87061168,-51.74122336,2.3461763091,1.6758402208,3.3516804416,3203.1347195,3213.4829641,3187.6123524,27.091162419,27.091162419,27.091162419,60.5649,2.6352,4.6949,0.9914,26.8968,2.3340
1,0,2,1,1,wg,431,24.488259,0.957616,0.79575,0.93182,14.118895389,wg,1,4.5194427178,0.2410083999,1.5818049512,1.1298606794,2.2597213589,0.0843529399,0.0602521,0.1205041999,26.070064231,25.618119959,26.747980638,0.9651679205,0.9651679205,0.9651679205,60.5649,2.6352,4.6949,0.9914,26.8968,2.3340
1,0,2,1,1,GLrice,431,5.660600,0.083709,4.91803,5.21999,1.4892665618,rfg,1,-4.519442718,0.2410083999,-1.581804951,-1.129860679,-2.259721359,0.0843529399,0.0602521,0.1205041999,5.5982927134,5.6160947983,5.5715895861,0.1467259983,0.1467259983,0.1467259983,60.5649,2.6352,4.6949,0.9914,26.8968,2.3340
1,0,2,2,2,GLwheat,289,29.098078,0.433225,4.72957,5.02198,7.4263404374,rfg,1,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,28.474285529,28.652512,28.206945824,0.4817261238,0.4817261238,0.4817261238,71.8750,3.0245,13.8733,2.1072,39.3834,2.8016
1,0,2,2,2,addsug,289,73.432402,2.162822,16.44673,18.52108,38.153494419,add,1,-3.221422542,0.2554139697,-1.12749789,-0.805355636,-1.610711271,0.0893948894,0.0638534924,0.1277069848,72.304904231,72.627046485,71.82169085,2.1665889439,2.1665889439,2.1665889439,71.8750,3.0245,13.8733,2.1072,39.3834,2.8016
1,0,2,2,2,rfg,289,138.228225,2.058002,4.72957,5.02198,35.278270073,rfg,1,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,135.26494557,136.11159697,133.99496846,2.0687553931,2.0687553931,2.0687553931,71.8750,3.0245,13.8733,2.1072,39.3834,2.8016
1,0,2,2,2,sodium,289,3060.956682,43.572500,2973.19716,3148.71620,658.87982278,sod,1,-209.2665821,11.047651898,-73.24330374,-52.31664553,-104.6332911,3.8666781644,2.7619129746,5.5238259492,2987.7133782,3008.6400364,2956.3233908,43.921241177,43.921241177,43.921241177,71.8750,3.0245,13.8733,2.1072,39.3834,2.8016
1,0,2,2,2,wg,289,17.803620,0.857806,0.56705,0.68894,11.198820298,wg,1,8.4665140386,0.421313497,2.9632799135,2.1166285097,4.2332570193,0.147459724,0.1053283743,0.2106567485,20.766899978,19.920248574,22.036877084,0.8832930705,0.8832930705,0.8832930705,71.8750,3.0245,13.8733,2.1072,39.3834,2.8016
1,0,2,2,2,GLrice,289,5.444810,0.081065,4.72957,5.02198,1.3896110582,rfg,1,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,5.3280862059,5.3614358047,5.2780618078,0.2257160864,0.2257160864,0.2257160864,71.8750,3.0245,13.8733,2.1072,39.3834,2.8016
1,0,2,3,3,GLwheat,313,35.898294,0.733649,5.76764,6.26284,9.6938407337,rfg,1,-7.974535359,0.399735629,-2.791087376,-1.99363384,-3.987267679,0.1399074702,0.0999339073,0.1998678145,35.310749629,35.478619579,35.058944704,0.7603863507,0.7603863507,0.7603863507,74.3245,2.3548,5.1134,1.4741,25.9414,2.4781
1,0,2,3,3,addsug,313,63.110958,1.363830,14.37240,15.68044,26.177065941,add,1,-3.096634116,0.2457566425,-1.083821941,-0.774158529,-1.548317058,0.0860148249,0.0614391606,0.1228783213,62.027136239,62.336799651,61.562641122,1.3693539315,1.3693539315,1.3693539315,74.3245,2.3548,5.1134,1.4741,25.9414,2.4781
1,0,2,3,3,rfg,313,170.532140,3.485142,5.76764,6.26284,46.049859191,rfg,1,-7.974535359,0.399735629,-2.791087376,-1.99363384,-3.987267679,0.1399074702,0.0999339073,0.1998678145,167.74105259,168.53850613,166.54487229,3.4908686639,3.4908686639,3.4908686639,74.3245,2.3548,5.1134,1.4741,25.9414,2.4781
1,0,2,3,3,sodium,313,3056.959469,44.747063,2966.83426,3147.08468,632.25840562,sod,1,-194.5483988,10.615136887,-68.09193958,-48.6370997,-97.27419941,3.7152979105,2.6537842218,5.3075684436,2988.8675293,3008.3223692,2959.6852695,45.060735699,45.060735699,45.060735699,74.3245,2.3548,5.1134,1.4741,25.9414,2.4781
1,0,2,3,3,wg,313,15.883799,0.815315,0.50235,0.61820,11.349526185,wg,1,7.974535359,0.399735629,2.7910873756,1.9936338397,3.9872676795,0.1399074702,0.0999339073,0.1998678145,18.674885911,17.877432375,19.871066215,0.8394558708,0.8394558708,0.8394558708,74.3245,2.3548,5.1134,1.4741,25.9414,2.4781
1,0,2,3,3,GLrice,313,6.717261,0.137280,5.76764,6.26284,1.8139039535,rfg,1,-7.974535359,0.399735629,-2.791087376,-1.99363384,-3.987267679,0.1399074702,0.0999339073,0.1998678145,6.6073200616,6.6387317564,6.5602025195,0.2424724201,0.2424724201,0.2424724201,74.3245,2.3548,5.1134,1.4741,25.9414,2.4781
1,0,2,4,4,GLwheat,261,32.262881,0.505321,5.23554,5.57662,8.0864671007,rfg,1,-5.389503228,0.2892047643,-1.88632613,-1.347375807,-2.694751614,0.1012216675,0.0723011911,0.1446023822,31.865795487,31.979248573,31.69561586,0.5256039038,0.5256039038,0.5256039038,48.6589,3.3552,4.0046,1.1945,20.6552,2.2187
1,0,2,4,4,addsug,261,51.661014,2.683064,11.01358,13.58690,23.611050222,add,1,-2.304777382,0.187656049,-0.806672084,-0.576194345,-1.152388691,0.0656796172,0.0469140123,0.0938280245,50.854341563,51.084819302,50.508624956,2.6847042102,2.6847042102,2.6847042102,48.6589,3.3552,4.0046,1.1945,20.6552,2.2187
1,0,2,4,4,rfg,261,153.262384,2.400491,5.23554,5.57662,38.414151993,rfg,1,-5.389503228,0.2892047643,-1.88632613,-1.347375807,-2.694751614,0.1012216675,0.0723011911,0.1446023822,151.3760578,151.91500812,150.56763232,2.4048420959,2.4048420959,2.4048420959,48.6589,3.3552,4.0046,1.1945,20.6552,2.2187
1,0,2,4,4,sodium,261,3324.951021,60.158158,3203.78627,3446.11577,693.72435477,sod,1,-122.7955562,8.0648229946,-42.97844467,-30.69888905,-61.39777811,2.8226880481,2.0162057486,4.0324114973,3281.9725766,3294.2521322,3263.5532431,60.293152859,60.293152859,60.293152859,48.6589,3.3552,4.0046,1.1945,20.6552,2.2187
1,0,2,4,4,wg,261,28.044070,1.524749,0.88088,1.09753,17.191446028,wg,1,5.3895032283,0.2892047643,1.8863261299,1.3473758071,2.6947516141,0.1012216675,0.0723011911,0.1446023822,29.930396019,29.391445696,30.738821503,1.5315906594,1.5315906594,1.5315906594,48.6589,3.3552,4.0046,1.1945,20.6552,2.2187
1,0,2,4,4,GLrice,261,6.037005,0.094555,5.23554,5.57662,1.513133447,rfg,1,-5.389503228,0.2892047643,-1.88632613,-1.347375807,-2.694751614,0.1012216675,0.0723011911,0.1446023822,5.9627029168,5.98393217,5.9308590369,0.1727731438,0.1727731438,0.1727731438,48.6589,3.3552,4.0046,1.1945,20.6552,2.2187
