,food,effect_normal_mean,effect_normal_mean_lb,effect_normal_mean_ub,effect_overweight_mean,effect_overweight_mean_lb,effect_overweight_mean_ub,effect_normal_mean_se,effect_overweight_mean_se
1,frt,-0.06,-0.08,-0.04,-0.11,-0.16,-0.06,0.010204269,0.025510673
2,veg,-0.03,-0.04,-0.01,-0.06,-0.09,-0.02,0.007653202,0.017857471
3,wg,-0.05,-0.07,-0.03,-0.08,-0.1,-0.06,0.010204269,0.010204269
4,pmeat,0.13,0.07,0.19,0.16,0.11,0.21,0.030612807,0.025510673
5,rmeat,0.13,0.17,0.2,0.23,0.14,0.32,0.007653202,0.045919211
6,ssb,0.1,0,0,0.23,NA,NA,0.0255,0.0459
7,sodium,0,0,0,0,0,0,0,0
8,rfg,0.05,,,0.07,,,0.0179,0.0204
9,GLwheat,0,0,0,0,0,0,0,0
10,GLrice,0,0,0,0,0,0,0,0
11,dairy,0,0,0,0,0,0,0,0
,seafood,0,0,0,0,0,0,0,0
,nuts,-0.1,,,-0.14,,,0.028,0.0561
,addsug,0.1,0,0,0.23,NA,NA,0.0255,0.0459
,BMI,0,0,0,0,0,0,0,0
,BP,0,0,0,0,0,0,0,0
