food,main.effect.mean,main.effect.se,age.effect.mean,age.effect.se,race.effect.mean,race.effect.se,htn.effect.mean,htn.effect.se
frt,0,0,0,0,0,0,0,0
veg,0,0,0,0,0,0,0,0
wg,0,0,0,0,0,0,0,0
pmeat,0,0,0,0,0,0,0,0
rmeat,0,0,0,0,0,0,0,0
ssb,0,0,0,0,0,0,0,0
sodium,1.623913043,0.317391304,0.045652174,0.012608696,1.082173913,0.516521739,0.814782609,0.384347826
rfg,0,0,0,0,0,0,0,0
GLwheat,0,0,0,0,0,0,0,0
GLrice,0,0,0,0,0,0,0,0
dairy,0,0,0,0,0,0,0,0
seafood,0,0,0,0,0,0,0,0
nuts,0,0,0,0,0,0,0,0
addsug,0,0,0,0,0,0,0,0
BMI,0,0,0,0,0,0,0,0
BP,0,0,0,0,0,0,0,0
